char1,file1,char2,file2,score
V,wingding.ttf_56.png,z,wingding.ttf_7a.png,1.0000001192092896
V,wingding.ttf_56.png,;,wingding.ttf_3b.png,1.0000001192092896
V,wingding.ttf_56.png,4,wingding.ttf_34.png,1.0000001192092896
V,wingding.ttf_56.png,~,wingding.ttf_7e.png,1.0000001192092896
V,wingding.ttf_56.png,",",wingding.ttf_2c.png,1.0000001192092896
V,wingding.ttf_56.png,],wingding.ttf_5d.png,1.0000001192092896
V,wingding.ttf_56.png,p,wingding.ttf_70.png,1.0000001192092896
V,wingding.ttf_56.png,.,wingding.ttf_2e.png,1.0000001192092896
V,wingding.ttf_56.png,K,wingding.ttf_4b.png,1.0000001192092896
@,wingding.ttf_40.png,Z,wingding.ttf_5a.png,1.0000001192092896
@,wingding.ttf_40.png,"""",wingding.ttf_22.png,1.0000001192092896
@,wingding.ttf_40.png,6,wingding.ttf_36.png,1.0000001192092896
@,wingding.ttf_40.png,n,wingding.ttf_6e.png,1.0000001192092896
@,wingding.ttf_40.png,I,wingding.ttf_49.png,1.0000001192092896
@,wingding.ttf_40.png,b,wingding.ttf_62.png,1.0000001192092896
@,wingding.ttf_40.png,?,wingding.ttf_3f.png,1.0000001192092896
@,wingding.ttf_40.png,B,wingding.ttf_42.png,1.0000001192092896
@,wingding.ttf_40.png,u,wingding.ttf_75.png,1.0000001192092896
@,wingding.ttf_40.png,!,wingding.ttf_21.png,1.0000001192092896
@,wingding.ttf_40.png,O,wingding.ttf_4f.png,1.0000001192092896
@,wingding.ttf_40.png,e,wingding.ttf_65.png,1.0000001192092896
@,wingding.ttf_40.png,s,wingding.ttf_73.png,1.0000001192092896
@,wingding.ttf_40.png,%,wingding.ttf_25.png,1.0000001192092896
@,wingding.ttf_40.png,W,wingding.ttf_57.png,1.0000001192092896
@,wingding.ttf_40.png,X,wingding.ttf_58.png,1.0000001192092896
@,wingding.ttf_40.png,L,wingding.ttf_4c.png,1.0000001192092896
@,wingding.ttf_40.png,:,wingding.ttf_3a.png,1.0000001192092896
@,wingding.ttf_40.png,+,wingding.ttf_2b.png,1.0000001192092896
@,wingding.ttf_40.png,m,wingding.ttf_6d.png,1.0000001192092896
@,wingding.ttf_40.png,g,wingding.ttf_67.png,1.0000001192092896
@,wingding.ttf_40.png,$,wingding.ttf_24.png,1.0000001192092896
@,wingding.ttf_40.png,v,wingding.ttf_76.png,1.0000001192092896
@,wingding.ttf_40.png,r,wingding.ttf_72.png,1.0000001192092896
@,wingding.ttf_40.png,^,wingding.ttf_5e.png,1.0000001192092896
@,wingding.ttf_40.png,8,wingding.ttf_38.png,1.0000001192092896
@,wingding.ttf_40.png,',wingding.ttf_27.png,1.0000001192092896
@,wingding.ttf_40.png,H,wingding.ttf_48.png,1.0000001192092896
@,wingding.ttf_40.png,3,wingding.ttf_33.png,1.0000001192092896
@,wingding.ttf_40.png,\,wingding.ttf_5c.png,1.0000001192092896
@,wingding.ttf_40.png,*,wingding.ttf_2a.png,1.0000001192092896
@,wingding.ttf_40.png,7,wingding.ttf_37.png,1.0000001192092896
@,wingding.ttf_40.png,P,wingding.ttf_50.png,1.0000001192092896
@,wingding.ttf_40.png,o,wingding.ttf_6f.png,1.0000001192092896
@,wingding.ttf_40.png,2,wingding.ttf_32.png,1.0000001192092896
@,wingding.ttf_40.png,E,wingding.ttf_45.png,1.0000001192092896
@,wingding.ttf_40.png,|,wingding.ttf_7c.png,1.0000001192092896
@,wingding.ttf_40.png,U,wingding.ttf_55.png,1.0000001192092896
@,wingding.ttf_40.png,T,wingding.ttf_54.png,1.0000001192092896
@,wingding.ttf_40.png,N,wingding.ttf_4e.png,1.0000001192092896
@,wingding.ttf_40.png,w,wingding.ttf_77.png,1.0000001192092896
